paperid,year
53e99784b7602d9701f3e3f5,2011
53e99784b7602d9701f3e133,2011
53e99784b7602d9701f3e151,1993
53e99784b7602d9701f3e15d,2005
53e99784b7602d9701f3e161,2009
53e99784b7602d9701f3e162,2007
53e99784b7602d9701f3e165,2009
53e99784b7602d9701f3e922,2009
53e99784b7602d9701f3e4f4,2009
53e99784b7602d9701f3eaf2,2001
53e99784b7602d9701f3eaf4,2004
53e99784b7602d9701f3eaf6,2013
53e99784b7602d9701f3f177,2009
53e99784b7602d9701f3f326,2006
53e99784b7602d9701f3f327,2007
53e99784b7602d9701f3f4d1,2008
53e99784b7602d9701f3f4d2,2007
53e99784b7602d9701f3f352,2008
53e99784b7602d9701f3f0b9,2000
53e99784b7602d9701f3f8c1,1966
53e99784b7602d9701f3f8c2,2012
53e99784b7602d9701f3f8c3,1980
53e99784b7602d9701f3f8d2,1962
53e99784b7602d9701f3f411,2002
53e99784b7602d9701f3f414,2007
53e99784b7602d9701f3f908,2003
53e99784b7602d9701f3f909,1957
53e99784b7602d9701f3f913,2002
53e99784b7602d9701f3f5fe,2011
53e99784b7602d9701f3f600,2004
53e99784b7602d9701f3f92a,2012
53e99784b7602d9701f3f60c,1986
53e99784b7602d9701f3f60f,1917
53e99784b7602d9701f3f955,2009
53e99784b7602d9701f3f956,2012
53e99784b7602d9701f3f957,2009
53e99784b7602d9701f3f958,2002
53e99784b7602d9701f3f959,2004
53e99784b7602d9701f3f95a,2010
53e99784b7602d9701f3f95b,2011
53e99784b7602d9701f3f95c,2008
53e99784b7602d9701f3f95d,2009
53e99784b7602d9701f3f95e,1983
53e99784b7602d9701f3f95f,2017
53e99784b7602d9701f3f960,2011
53e99784b7602d9701f3f961,2009
53e99784b7602d9701f3f962,2013
53e99784b7602d9701f3f963,2006
53e99784b7602d9701f3f964,2004
53e99784b7602d9701f3f965,1971
53e99784b7602d9701f3f966,2000
53e99784b7602d9701f3f967,2000
53e99784b7602d9701f3f968,2013
53e99784b7602d9701f3f969,2006
53e99784b7602d9701f3f96a,2007
53e99784b7602d9701f3f96b,2003
53e99784b7602d9701f3f96c,2014
53e99784b7602d9701f3f96d,2006
53e99784b7602d9701f3f96e,1996
53e99784b7602d9701f3f96f,2003
53e99784b7602d9701f3f48d,2008
53e99784b7602d9701f3f970,1988
53e99784b7602d9701f3f971,2005
53e99784b7602d9701f3f613,2010
53e99784b7602d9701f3f973,2011
53e99784b7602d9701f3f615,2013
53e99784b7602d9701f3f975,2011
53e99784b7602d9701f3f976,2011
53e99784b7602d9701f3f977,2011
53e99784b7602d9701f3f97a,2008
53e99784b7602d9701f3f97c,2008
53e99784b7602d9701f3f97d,2008
53e99784b7602d9701f3f97f,2008
53e99784b7602d9701f3f980,2009
53e99784b7602d9701f3f616,2013
53e99784b7602d9701f3f987,2009
