id,topic
0,Data Processing
1,Data Querying
2,Vacuum Cleaner
3,Data Querying
4,Data Querying
5,Indexing
6,Data Processing
7,Big Data
8,Data Storage
9,Data Management
10,Burstsort
11,Data Querying
12,Burstsort
13,Data Modeling
14,Data Management
15,Indexing
16,Data Processing
17,Data Modeling
18,Data Querying
19,Data Processing
20,Data Storage
21,Data Management
22,Data Storage
23,Collection Selection
24,Data Querying
25,Data Modeling
26,Data Querying
27,Data Modeling
28,Big Data
29,Burstsort
30,Burstsort
31,Vacuum Cleaner
32,Data Management
33,Data Processing
34,Data Storage
35,Data Modeling
36,Data Querying
37,Collection Selection
38,Data Storage
39,Big Data
40,Data Storage
41,Collection Selection
42,Vacuum Cleaner
43,Collection Selection
44,Vacuum Cleaner
45,Indexing
46,Vacuum Cleaner
47,Data Processing
48,Collection Selection
49,Vacuum Cleaner
50,Data Management
51,Collection Selection
52,Burstsort
53,Burstsort
54,Burstsort
55,Burstsort
56,Data Modeling
57,Data Processing
58,Vacuum Cleaner
59,Burstsort
60,Data Management
61,Data Modeling
62,Data Modeling
63,Data Storage
64,Collection Selection
65,Collection Selection
66,Big Data
67,Data Querying
68,Indexing
69,Data Storage
70,Collection Selection
71,Big Data
72,Big Data
73,Data Management
74,Data Processing
75,Burstsort
76,Burstsort
77,Data Management
78,Burstsort
79,Collection Selection
80,Data Processing
81,Data Querying
82,Collection Selection
83,Data Management
84,Collection Selection
85,Data Processing
86,Data Processing
87,Collection Selection
88,Burstsort
89,Data Management
90,Burstsort
91,Data Processing
92,Data Modeling
93,Indexing
94,Indexing
95,Data Management
96,Data Querying
97,Data Modeling
98,Data Processing
99,Data Querying
100,Big Data
101,Data Processing
102,Data Management
103,Indexing
104,Data Processing
105,Data Management
106,Data Processing
107,Vacuum Cleaner
108,Big Data
109,Data Management
110,Data Processing
111,Data Storage
112,Data Management
113,Data Modeling
114,Burstsort
115,Data Modeling
116,Data Processing
117,Vacuum Cleaner
118,Big Data
119,Data Storage
120,Data Storage
121,Big Data
122,Burstsort
123,Vacuum Cleaner
124,Data Querying
125,Data Storage
126,Data Querying
127,Data Processing
128,Collection Selection
129,Indexing
130,Data Querying
131,Indexing
132,Vacuum Cleaner
133,Data Modeling
134,Burstsort
135,Data Processing
136,Collection Selection
137,Big Data
138,Collection Selection
139,Data Management
140,Data Processing
141,Burstsort
142,Vacuum Cleaner
143,Burstsort
144,Data Processing
145,Data Management
146,Data Modeling
147,Data Storage
148,Data Modeling
149,Data Processing
150,Data Querying
151,Indexing
152,Data Processing
153,Data Storage
154,Vacuum Cleaner
155,Data Management
156,Collection Selection
157,Data Modeling
158,Collection Selection
159,Burstsort
160,Big Data
161,Data Querying
162,Data Management
163,Big Data
164,Collection Selection
165,Data Modeling
166,Data Modeling
167,Data Management
168,Data Storage
169,Data Processing
170,Indexing
171,Data Management
172,Vacuum Cleaner
173,Data Management
174,Data Processing
175,Collection Selection
176,Indexing
177,Data Storage
178,Indexing
179,Big Data
180,Data Processing
181,Vacuum Cleaner
182,Data Management
183,Data Storage
184,Data Management
185,Indexing
186,Data Management
187,Data Processing
188,Data Querying
189,Data Modeling
190,Data Querying
191,Data Processing
192,Data Storage
193,Collection Selection
194,Big Data
195,Data Management
196,Indexing
197,Burstsort
198,Data Management
199,Data Querying
200,Vacuum Cleaner
201,Data Processing
202,Burstsort
203,Burstsort
204,Indexing
205,Data Modeling
206,Vacuum Cleaner
207,Burstsort
208,Data Modeling
209,Burstsort
210,Burstsort
211,Data Storage
212,Data Processing
213,Burstsort
214,Vacuum Cleaner
215,Big Data
216,Data Modeling
217,Data Storage
218,Collection Selection
219,Indexing
220,Burstsort
221,Burstsort
222,Data Storage
223,Indexing
224,Data Processing
225,Data Modeling
226,Data Processing
227,Big Data
228,Indexing
229,Data Processing
230,Indexing
231,Big Data
232,Data Querying
233,Data Modeling
234,Burstsort
235,Burstsort
236,Collection Selection
237,Data Processing
238,Data Management
239,Collection Selection
240,Collection Selection
241,Collection Selection
242,Collection Selection
243,Data Storage
244,Vacuum Cleaner
245,Data Querying
246,Indexing
247,Data Storage
248,Big Data
249,Data Querying
250,Burstsort
251,Data Querying
252,Collection Selection
253,Data Querying
254,Data Querying
255,Data Storage
256,Big Data
257,Collection Selection
258,Data Management
259,Data Processing
260,Data Modeling
261,Indexing
262,Data Storage
263,Data Modeling
264,Data Modeling
265,Indexing
266,Big Data
267,Vacuum Cleaner
268,Data Processing
269,Burstsort
270,Data Modeling
271,Data Querying
272,Vacuum Cleaner
273,Collection Selection
274,Data Modeling
275,Data Modeling
276,Indexing
277,Big Data
278,Collection Selection
279,Indexing
280,Data Querying
281,Collection Selection
282,Data Storage
283,Burstsort
284,Burstsort
285,Collection Selection
286,Burstsort
287,Big Data
288,Data Querying
289,Data Processing
290,Data Processing
291,Data Processing
292,Data Querying
293,Data Processing
294,Data Querying
295,Burstsort
296,Vacuum Cleaner
297,Data Modeling
298,Indexing
299,Indexing
300,Vacuum Cleaner
301,Indexing
302,Burstsort
303,Data Modeling
304,Data Modeling
305,Data Management
306,Collection Selection
307,Big Data
308,Big Data
309,Data Storage
310,Big Data
311,Big Data
312,Collection Selection
313,Data Querying
314,Indexing
315,Data Modeling
316,Burstsort
317,Data Management
318,Indexing
319,Data Querying
320,Burstsort
321,Data Management
322,Indexing
323,Data Storage
324,Big Data
325,Collection Selection
326,Collection Selection
327,Data Storage
328,Data Modeling
329,Data Management
330,Collection Selection
331,Big Data
332,Burstsort
333,Collection Selection
334,Indexing
335,Data Processing
336,Data Querying
337,Data Modeling
338,Indexing
339,Big Data
340,Data Processing
341,Data Querying
342,Data Querying
343,Data Modeling
344,Indexing
345,Vacuum Cleaner
346,Vacuum Cleaner
347,Data Processing
348,Data Management
349,Data Querying
350,Data Storage
351,Data Storage
352,Collection Selection
353,Collection Selection
354,Indexing
355,Data Storage
356,Indexing
357,Data Storage
358,Vacuum Cleaner
359,Data Management
360,Data Management
361,Data Processing
362,Data Querying
363,Vacuum Cleaner
364,Data Querying
365,Indexing
366,Data Storage
367,Burstsort
368,Collection Selection
369,Data Querying
370,Burstsort
371,Big Data
372,Collection Selection
373,Data Management
374,Data Management
375,Big Data
376,Data Querying
377,Data Modeling
378,Collection Selection
379,Data Processing
380,Burstsort
381,Data Modeling
382,Data Storage
383,Indexing
384,Data Processing
385,Collection Selection
386,Data Processing
387,Burstsort
388,Indexing
389,Vacuum Cleaner
390,Vacuum Cleaner
391,Vacuum Cleaner
392,Data Storage
393,Data Management
394,Data Querying
395,Indexing
396,Data Modeling
397,Collection Selection
398,Data Querying
399,Indexing
400,Data Processing
401,Burstsort
402,Vacuum Cleaner
403,Vacuum Cleaner
404,Indexing
405,Vacuum Cleaner
406,Indexing
407,Burstsort
408,Data Querying
409,Big Data
410,Data Processing
411,Burstsort
412,Collection Selection
413,Data Management
414,Data Modeling
415,Data Querying
416,Data Storage
417,Data Querying
418,Data Querying
419,Collection Selection
420,Indexing
421,Data Processing
422,Data Processing
423,Big Data
424,Indexing
425,Big Data
426,Data Storage
427,Data Storage
428,Vacuum Cleaner
429,Data Processing
430,Burstsort
431,Indexing
432,Collection Selection
433,Indexing
434,Data Querying
435,Data Storage
