idjournal,idvolume
621ef1db-1f39-43fc-8848-bb366059bec4,a6edc871-ba91-4cb3-afe2-ed165e8a76f6
d3422460-690e-44bd-b35e-5a6d95afa7ea,72033a73-2ace-4547-8aac-0c8362922727
5ce37a1b-8ac5-4a96-b41e-6640455f77ee,04a4a8a6-959d-4343-bf1b-7b7a191e4bb5
a22821d1-5518-4af4-bf4d-735a5632660d,92ed9275-c4f4-406a-837f-e18ade56d3db
5182ff57-eec1-4fd4-a955-79a15a287057,3d5a5c24-9a99-4108-9da4-08046ba3b469
7d603154-2024-4873-b35b-f304b622fb12,2495e101-322a-4569-8294-3540ca5326ae
55530971-e1b2-467f-93f0-a5d9f63baa9c,b09dc8da-5cb3-4834-b0d2-aace88660faa
db792fbb-91e7-47ae-a552-6204c36c3c4a,aa4383ef-bfa9-47b8-a3be-5bdaf8e29d41
1b1f3228-806a-43e2-9374-8973a6f43495,fc8efd17-9bdc-413d-877d-43a2cb23b9a8
e96d7fe4-ddb9-4867-a9ca-738f5338b7df,00252e64-1be4-4c58-9cf4-f180e70ca9d4
d41fcc8e-c270-44f4-8892-4600a879eebb,0460453f-a905-4b69-99c9-b664504a0f1b
a4059e9a-b41e-4591-a24d-89853252e860,64bdc114-ba3c-4aac-af0b-a46cd478435b
a89b523e-e59c-414b-881d-a78b6bb3fa44,bf8e0f7b-5932-4fa1-87d2-62e074478183
9f55d3f9-2ab9-4310-8bbe-ded1948d5ba2,101039f4-8a01-44bf-bdf7-ed3e675b73a1
6c4d3f76-65d5-4fad-af2c-32bbf3e88d1c,4ad44f78-c262-417e-a146-90ccca1bc312
0b712240-29f6-473d-93dd-a2e652426da8,6a3471f8-9682-40e4-a3e4-f0a525682299
ed66f710-38cd-4a5e-90ad-5fe426d60107,671dbffe-fed2-42bb-9e26-428b4eb07b82
b03d2764-90e4-49d7-a13e-4542d5d97c5b,e699f5ef-95c4-4641-be19-7cf2bf164edf
299bd8c0-10e2-45cd-90c0-6d78f667144f,e947abfd-9776-4f7f-842e-ff9d4c80f0ba
3b1add2e-c2d2-483b-b0fe-974028c501c5,e7d05416-5f4b-4093-8684-03879f4c798c
4ff6f04d-e714-4c66-8366-e1d210871382,758eef10-246e-4b9e-9645-7106b9747671
82ee98c9-4857-4c75-8b18-d88aa9fd9090,011ee2ca-1a61-4d76-8fee-a357f9fc8008
